era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,7.0,,239,14.0,The Name of the Doctor,episode,18-05-2013,,7.45,88.0,45.0,18 May 2013,9.0,7323.0,"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved.",Saul Metzstein,Steven Moffat
revived,,,240,1.0,The Day of the Doctor,special,23-11-2013,,12.8,88.0,77.0,,,,,Nick Hurran,Steven Moffat
revived,8.0,,241,0.0,The Time of the Doctor,episode,25-12-2013,,11.14,83.0,60.0,25 Dec. 2013,8.4,6500.0,"The Doctor's worst enemies, The Daleks, The Cybermen, The Angels and The Silence, return, as the doctor's eleventh life comes to a close, and his twelfth life begins.",Jamie Payne,Steven Moffat
revived,8.0,,242,1.0,Deep Breath,episode,23-08-2014,,9.17,82.0,76.0,23 Aug. 2014,7.9,7546.0,"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.",Ben Wheatley,Steven Moffat
revived,8.0,,243,2.0,Into the Dalek,episode,30-08-2014,,7.29,84.0,45.0,30 Aug. 2014,7.6,5964.0,Know what this is about? Be the first one to add a plot.,Ben Wheatley,Phil Ford
revived,8.0,,243,2.0,Into the Dalek,episode,30-08-2014,,7.29,84.0,45.0,30 Aug. 2014,7.6,5964.0,Know what this is about? Be the first one to add a plot.,Ben Wheatley,Steven Moffat
revived,8.0,,244,3.0,Robot of Sherwood,episode,06-09-2014,,7.28,82.0,46.0,6 Sep. 2014,7.0,6103.0,"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake.",Paul Murphy,Mark Gatiss
revived,8.0,,245,4.0,Listen,episode,13-09-2014,,7.01,82.0,48.0,13 Sep. 2014,8.9,7605.0,"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe.",Douglas Mackinnon,Steven Moffat
revived,8.0,,246,5.0,Time Heist,episode,20-09-2014,,6.99,84.0,45.0,20 Sep. 2014,7.9,5591.0,"The Doctor and Clara wake up in a room with two other people, unable to remember how they got there. As it turns out Someone known as the Architect has employed them to Break into the Universe's most secure bank.",Douglas Mackinnon,Stephen Thompson
revived,8.0,,246,5.0,Time Heist,episode,20-09-2014,,6.99,84.0,45.0,20 Sep. 2014,7.9,5591.0,"The Doctor and Clara wake up in a room with two other people, unable to remember how they got there. As it turns out Someone known as the Architect has employed them to Break into the Universe's most secure bank.",Douglas Mackinnon,Steven Moffat
revived,8.0,,247,6.0,The Caretaker,episode,27-09-2014,,6.82,83.0,45.0,27 Sep. 2014,7.2,4931.0,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.",Paul Murphy,Gareth Roberts
revived,8.0,,247,6.0,The Caretaker,episode,27-09-2014,,6.82,83.0,45.0,27 Sep. 2014,7.2,4931.0,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.",Paul Murphy,Steven Moffat
revived,8.0,,248,7.0,Kill the Moon,episode,04-10-2014,,6.91,82.0,45.0,4 Oct. 2014,6.8,5666.0,"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things.",Paul Wilmshurst,Peter Harness
revived,8.0,,249,8.0,Mummy on the Orient Express,episode,11-10-2014,,7.11,85.0,47.0,11 Oct. 2014,8.5,5526.0,"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers.",Paul Wilmshurst,Jamie Mathieson
revived,8.0,,250,9.0,Flatline,episode,18-10-2014,,6.71,85.0,43.0,18 Oct. 2014,8.4,5256.0,"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy.",Douglas Mackinnon,Jamie Mathieson
revived,8.0,,251,10.0,In the Forest of the Night,episode,25-10-2014,,6.92,83.0,45.0,25 Oct. 2014,6.0,5123.0,"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth.",Sheree Folkson,Frank Cottrell-Boyce
revived,8.0,,252a,11.0,Dark Water,episode,01-11-2014,,7.34,85.0,46.0,1 Nov. 2014,8.6,5542.0,"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him.",Rachel Talalay,Steven Moffat
revived,8.0,,252b,12.0,Death in Heaven,episode,08-11-2014,,7.6,83.0,57.0,8 Nov. 2014,7.8,5308.0,"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.",Rachel Talalay,Steven Moffat
revived,9.0,,253,0.0,Last Christmas,special,25-12-2014,,8.28,82.0,60.0,25 Dec. 2014,8.2,5241.0,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!",Paul Wilmshurst,Steven Moffat
revived,9.0,,254a,1.0,The Magician's Apprentice,episode,19-09-2015,,6.54,84.0,46.0,19 Sep. 2015,8.4,5750.0,"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?",Hettie MacDonald,Steven Moffat
revived,9.0,,254b,2.0,The Witch's Familiar,episode,26-09-2015,,5.71,83.0,48.0,26 Sep. 2015,8.4,5106.0,"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?",Hettie MacDonald,Steven Moffat
revived,9.0,,255a,3.0,Under the Lake,episode,03-10-2015,,5.63,84.0,43.0,3 Oct. 2015,8.2,4899.0,The Doctor and Clara find themselves on a underwater station where the crew live in fear of deadly ghosts which have taken over the station.,Daniel O'Hara,Toby Whithouse
revived,9.0,,255b,4.0,Before the Flood,episode,10-10-2015,,6.05,83.0,42.0,10 Oct. 2015,8.1,4617.0,"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th.",Daniel O'Hara,Toby Whithouse
revived,9.0,,256,5.0,The Girl Who Died,episode,17-10-2015,,6.56,82.0,46.0,17 Oct. 2015,7.5,4673.0,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.",Ed Bazalgette,Jamie Mathieson
revived,9.0,,256,5.0,The Girl Who Died,episode,17-10-2015,,6.56,82.0,46.0,17 Oct. 2015,7.5,4673.0,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.",Ed Bazalgette,Steven Moffat
revived,9.0,,257,6.0,The Woman Who Lived,episode,24-10-2015,,6.11,81.0,46.0,24 Oct. 2015,7.4,4527.0,"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?",Ed Bazalgette,Catherine Tregenna
